Month,Division,GA Source,Package/Roadblock,Device,Placement Start Date,Placement End Date,Job# (s),Analytic Campaign Name,Campaign Name,Creative,Impressions,Clicks,Media Cost
2014-02,Houston,add,AddThis Anserra GO Houston DMA PACKAGE,banners,2/3/2014,2/22/2014,115086,anserra_go,Anserra Grand Opening,115086_HOU_160x600.jpg,75323.00,78.00,812.41
2014-02,Houston,mobileT,MobileTheory Anserra GO Houston DMA PACKAGE,mobile,2/3/2014,2/22/2014,115086,anserra_go,Anserra Grand Opening,Grand Opening,20315.00,92.00,2500.00
2014-02,Houston,add,AddThis Anserra GO Houston DMA PACKAGE,banners,2/3/2014,2/22/2014,115424,anserra_sp,Anserra Sneak Peek,115424_HOU_160x600.jpg,148428.00,461.00,1687.58
2014-02,Jacksonville,mobileT,Mobile Theory Alexandria Pointe GO JAX DMA  2/3-2/22 PACKAGE,mobile,2/3/2014,2/22/2014,114921,apoint_go,Alexandria Pointe Grand Opening (Deland),JAX_1x1,119066.00,1305.00,1999.99
2014-02,SoCal Coastal,add,AddThis Arbor Rose Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,111844,arbor_sus,Arbor Rose Sustain (Arcadia),111844_1PGO_160x600.jpg,114.00,1.00,999.99
2014-02,Central California,add,AddThis Aria & Legato Sacramento DMA 1/27-2/9 PACKAGE,banners,1/27/2014,2/9/2014,114890,aria_cs,Aria & Legato Interest List,114890_160x600.swf,53056.00,19.00,643.41
2014-02,Central California,add,AddThis Aria & Legato Sacramento DMA 2/17-3/2 PACKAGE,banners,2/17/2014,3/2/2014,115716,aria_cs,Aria & Legato Interest List,115716_SAC_160x600.swf,104438.00,31.00,1346.54
2014-02,Central California,mobileT,Mobile Theory Aria & Legato Sacramento DMA 1/27-2/9 PACKAGE,mobile,1/27/2014,2/9/2014,115716,aria_cs,Aria & Legato Interest List,SAC_1x1,2120.00,23.00,403.03
2014-02,Central California,mobileT,Mobile Theory Aria & Legato Sacramento DMA 2/17-3/2 PACKAGE,mobile,2/17/2014,3/2/2014,115716,aria_cs,Aria & Legato Interest List,SAC_1x1,33404.00,266.00,1480.00
2014-02,Austin,linked,1Q14 AUS LinkedIn Real Estate,banners,12/1/2013,2/28/2014,113651,aus,Q1 Sustaining Linked In -Real Estate,113651_300x250.jpg,17386.00,5.00,316.43
2014-02,Austin,linked,"1Q14 AUS LinkedIn Military, High Tech",banners,12/1/2013,2/28/2014,113652,aus,Q1 Sustaining Linked In - Military,113652_300x250.jpg,75461.00,29.00,1463.94
2014-02,Austin,facebook,1Q14 AUS FB Newsfeed Feb- Austin DMA,ad,2/1/2014,2/28/2014,113579,aus ,Q1 Sustaining,Facebook,165495.00,1768.00,1808.85
2014-02,Austin,trulia,1Q14 Austin DMA Sustain Trulia Display 300x600 FEB,banners,2/1/2014,2/28/2014,113579,aus ,Q1 Sustaining,113579_300x600.swf,23554.00,194.00,376.86
2014-02,Austin,trulia,1Q14 Austin DMA Sustain Trulia Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,113579,aus ,Q1 Sustaining,113579_320x50.jpg,6954.00,15.00,151.95
2014-02,Austin,zillow,1Q14 Austin DMA Sustain Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,113579,aus ,Q1 Sustaining,113579_300x600.swf,30601.00,66.00,244.81
2014-02,Austin,zillow,1Q14 Austin DMA Sustain Zillow Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,113579,aus ,Q1 Sustaining,Sustain,23600.00,163.00,433.20
2014-02,Austin,add,AddThis Sales Event Austin DMA 2/6-2/16 PACKAGE,banners,2/6/2014,2/16/2014,115076,aus_bds1,Sales Event,115076_160x600.jpg,65630.00,645.00,478.86
2014-02,Austin,mobileT,Mobile Theory Sales Event Austin DMA 2/6-2/16 PACKAGE,mobile,2/6/2014,2/16/2014,115076,aus_bds1,Sales Event,Sales Event Week 1,23724.00,149.00,1500.00
2014-02,Austin,trulia,1Q14 Austin DMA Sustain Trulia Display 300x600 FEB,banners,2/1/2014,2/28/2014,115076,aus_bds1,Sales Event,115076_300x600.jpg,18480.00,181.00,295.68
2014-02,Austin,trulia,1Q14 Austin DMA Sustain Trulia Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,115076,aus_bds1,Sales Event,115076_320x50.gif,5523.00,7.00,122.54
2014-02,Austin,zillow,1Q14 Austin DMA Sustain Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,115076,aus_bds1,Sales Event,115076_300x600.jpg,24262.00,63.00,194.10
2014-02,Austin,zillow,1Q14 Austin DMA Sustain Zillow Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,115076,aus_bds1,Sales Event,Sales Event Week 1,8972.00,72.00,427.33
2014-02,Austin,add,AddThis Sales Event Austin DMA 2/6-2/16 PACKAGE,banners,2/6/2014,2/16/2014,115119,aus_bds2,Sales Event,115119_AUS_160x600.jpg,55333.00,202.00,703.95
2014-02,Austin,trulia,1Q14 Austin DMA Sustain Trulia Display 300x600 FEB,banners,2/1/2014,2/28/2014,115119,aus_bds2,Sales Event,115119_AUS_300x600.jpg,83570.00,540.00,1157.46
2014-02,Austin,trulia,1Q14 Austin DMA Sustain Trulia Mobile 320x50 FEB,mobile,2/1/2014,2/28/2014,115119,aus_bds2,Sales Event,115119_AUS_320x50.jpg,24528.00,45.00,461.51
2014-02,Austin,zillow,1Q14 Austin DMA Sustain Zillow Display 300x600 FEB,banners,2/1/2014,2/28/2014,115119,aus_bds2,Sales Event,115119_AUS_300x600.jpg,81840.00,214.00,654.10
2014-02,Austin,add,AddThis Huttoparke & Waterleaf HTBAH Austin DMA 2/12-2/22 PACKAGE,banners,2/12/2014,2/22/2014,115604,aus_htbah,HTBAH Event ,115604_AUS_160x600.jpg,159252.00,102.00,1962.46
2014-02,Austin,mobileT,Mobile Theory Huttoparke & Waterleaf HTBAH Austin DMA 2/12-2/22 PACKAGE,mobile,2/12/2014,2/22/2014,115604,aus_htbah,HTBAH Event ,AUS_1x1,52522.00,247.00,2000.00
2014-02,SoCal Coastal,add,AddThis Ridgeview at Echo Ridge Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,111557,av,Q1 Sustaining - Antelope Valley,111557_160x600.jpg,63.00,0.00,0.16
2014-02,SoCal Coastal,add,AddThis Rancho Santalina Haciendas Sustain Zip Targeting Display 2/1-2/28 PACKAGE,banners,2/1/2014,2/28/2014,111557,av,Q1 Sustaining - Antelope Valley,111557_160x600.jpg,91.00,1.00,0.22
